City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
258,Sola,VU,3/24/2021 20:04,-13.8833,167.55,80.71,73,81,4.23,broken clouds
259,Nanortalik,GL,3/24/2021 20:04,60.1432,-45.2371,20.82,58,24,35.75,few clouds
260,Muzhi,RU,3/24/2021 20:04,65.3667,64.6667,16.57,83,57,8.59,broken clouds
261,Chegdomyn,RU,3/24/2021 20:04,51.1167,133.0167,12,96,100,1.72,overcast clouds
262,Nordby,DK,3/24/2021 20:04,55.446,8.3979,42.8,93,90,13.8,mist
263,Lavrentiya,RU,3/24/2021 20:04,65.5833,-171,12.11,95,74,2.26,broken clouds
264,Koulikoro,ML,3/24/2021 20:04,14,-7.75,88.23,13,10,9.95,clear sky
265,Aquiraz,BR,3/24/2021 20:04,-3.9014,-38.3911,81,78,20,6.91,few clouds
266,Yenagoa,NG,3/24/2021 20:04,4.9247,6.2642,75.04,91,100,4.29,overcast clouds
267,Lichinga,MZ,3/24/2021 20:04,-13.3128,35.2406,66.2,88,75,10.36,broken clouds
268,Cherskiy,RU,3/24/2021 20:04,68.75,161.3,-2.58,98,100,3.4,overcast clouds
269,Palmer,US,3/24/2021 20:04,42.1584,-72.3287,64,34,100,4,overcast clouds
270,Kodiak,US,3/24/2021 20:04,57.79,-152.4072,42.8,56,40,3.44,scattered clouds
271,Asfi,MA,3/24/2021 20:04,32.2994,-9.2372,61.12,63,0,16.67,clear sky
272,Salmon Arm,CA,3/24/2021 20:03,50.6998,-119.3024,46,70,100,5.75,overcast clouds
273,Mahibadhoo,MV,3/24/2021 20:04,3.7833,72.9667,82.11,72,97,5.46,overcast clouds
